surname,team,position,minutes,shots,passes,tackles,saves,number of passes per minute played,,,,,Which team has the highest average number of passes per minute played,
Bunjaku,Switzerland,forward,13,0,5,0,0,0.38,,,,,,
Ngongca,South Africa,defender,55,0,21,1,0,0.38,,,,,,
Goduen,Uruguay,defender,315,1,120,9,0,0.38,,,,,,
Holosko,Slovakia,forward,29,0,11,1,0,0.38,,,,,,
Boudebouz,Algeria,midfielder,74,3,28,1,0,0.38,,,,,,
Alou Diarra,France,midfielder,82,0,31,0,0,0.38,,,,,,
Endo,Japan,midfielder,389,1,147,9,0,0.38,,,,,,
King,England,defender,45,0,17,0,0,0.38,,,,,,
Squillaci,France,defender,90,0,34,1,0,0.38,,,,,,
Bernardez,Honduras,defender,90,2,34,4,0,0.38,,,,,,
Suler,Slovenia,defender,270,0,102,5,0,0.38,,,,,,
Oh Beom-Seok,South Korea,defender,90,1,34,3,0,0.38,,,,,,
Samuel,Argentina,defender,114,2,43,1,0,0.38,,,,,,
Abdoun,Algeria,midfielder,16,0,6,0,0,0.38,,,,,,
Rukavytsya,Australia,forward,32,1,12,0,0,0.38,,,,,,
Odemwingie,Nigeria,forward,75,0,28,1,0,0.37,,,,,,
Uche,Nigeria,midfielder,196,6,73,2,0,0.37,,,,,,
Kahlenberg,Denmark,midfielder,159,2,59,3,0,0.37,,,,,,
Isla,Chile,defender,332,1,123,10,0,0.37,,,,,,
Addy,Ghana,defender,138,0,51,2,0,0.37,,,,,,
Afolabi,Nigeria,defender,103,0,38,1,0,0.37,,,,,,
Lee Dong-Gook,South Korea,forward,38,1,14,0,0,0.37,,,,,,
Beauchamp,Australia,defender,90,0,33,2,0,0.37,,,,,,
Simon Poulsen,Denmark,midfielder,270,1,99,9,0,0.37,,,,,,
Honda,Japan,midfielder,390,8,143,5,0,0.37,,,,,,
Kaita,Nigeria,midfielder,123,2,45,2,0,0.37,,,,,,
Amoah,Ghana,forward,11,0,4,1,0,0.36,,,,,,
Matavz,Slovenia,forward,11,0,4,0,0,0.36,,,,,,
Milito,Argentina,forward,91,0,33,0,0,0.36,,,,,,
Chipperfield,Australia,midfielder,138,2,50,3,0,0.36,,,,,,
Sarpei,Ghana,defender,463,0,167,13,0,0.36,,,,,,
Bonet,Paraguay,midfielder,300,0,108,4,0,0.36,,,,,,
Bornstein,USA,defender,200,2,72,5,0,0.36,,,,,,
Di Natale,Italy,forward,153,6,55,2,0,0.36,,,,,,
Forlan,Uruguay,forward,564,18,202,0,0,0.36,,,,,,
Bresciano,Australia,midfielder,132,3,47,1,0,0.36,,,,,,
Gallas,France,defender,270,0,96,2,0,0.36,,,,,,
Zokora,Ivory Coast,midfielder,270,0,96,5,0,0.36,,,,,,
Caceres,Uruguay,defender,90,0,32,4,0,0.36,,,,,,
Holman,Australia,forward,138,3,49,2,0,0.36,,,,,,
Rooney,England,forward,342,8,121,2,0,0.35,,,,,,
Torres,Paraguay,defender,82,2,29,1,0,0.35,,,,,,
Vicelich,New Zealand,defender,249,1,88,4,0,0.35,,,,,,
Park Ji-Sung,South Korea,midfielder,360,5,127,13,0,0.35,,,,,,
Danny,Portugal,forward,176,1,62,7,0,0.35,,,,,,
Jacobsen,Denmark,defender,270,0,95,3,0,0.35,,,,,,
Brecko,Slovenia,defender,270,1,95,5,0,0.35,,,,,,
Dempsey,USA,midfielder,390,15,137,6,0,0.35,,,,,,
Zabavnuek,Slovakia,defender,268,1,94,8,0,0.35,,,,,,
Emerton,Australia,midfielder,254,1,89,3,0,0.35,,,,,,
Simao,Portugal,midfielder,217,2,76,7,0,0.35,,,,,,
Jonathan Mensah,Ghana,defender,300,2,105,6,0,0.35,,,,,,
Kacar,Serbia,midfielder,20,1,7,1,0,0.35,,,,,,
Nunez,Honduras,midfielder,172,4,60,1,0,0.35,,,,,,
Halliche,Algeria,defender,270,2,94,4,0,0.35,,,,,,
Figueroa,Honduras,defender,270,1,94,5,0,0.35,,,,,,
Matsui,Japan,midfielder,273,3,95,4,0,0.35,,,,,,
Aboubakar,Cameroon,forward,46,2,16,0,0,0.35,,,,,,
Victor Obinna,Nigeria,forward,72,3,25,4,0,0.35,,,,,,
Cavani,Uruguay,forward,435,9,151,11,0,0.35,,,,,,
Clark,USA,midfielder,121,0,42,4,0,0.35,,,,,,
Mun In-Guk,North Korea,midfielder,205,2,71,7,0,0.35,,,,,,
Pekaruek,Slovakia,defender,270,0,93,8,0,0.34,,,,,,
Walter Martinez,Honduras,forward,125,0,43,1,0,0.34,,,,,,
Barreto,Paraguay,midfielder,111,2,38,3,0,0.34,,,,,,
Alvaro Pereira,Uruguay,midfielder,409,6,140,17,0,0.34,,,,,,
Arevalo Rios,Uruguay,midfielder,570,5,195,21,0,0.34,,,,,,
Nelsen,New Zealand,defender,270,0,92,1,0,0.34,,,,,,
Kirm,Slovenia,midfielder,259,1,88,4,0,0.34,,,,,,
Lodeiro,Uruguay,midfielder,109,0,37,1,0,0.34,,,,,,
von Bergen,Switzerland,defender,234,0,79,3,0,0.34,,,,,,
Sanchez,Chile,forward,335,7,113,13,0,0.34,,,,,,
Huggel,Switzerland,midfielder,258,0,87,8,0,0.34,,,,,,
Vittek,Slovakia,forward,353,10,118,0,0,0.33,,,,,,
Garcia,Australia,midfielder,72,2,24,3,0,0.33,,,,,,
Wilson Palacios,Honduras,midfielder,270,0,90,14,0,0.33,,,,,,
Demel,Ivory Coast,defender,180,0,60,6,0,0.33,,,,,,
Hasebe,Japan,midfielder,375,2,125,8,0,0.33,,,,,,
Ooijer,Netherlands,defender,90,0,30,2,0,0.33,,,,,,
Reid,New Zealand,defender,270,2,90,10,0,0.33,,,,,,
Vera,Paraguay,midfielder,414,5,138,14,0,0.33,,,,,,
Bocanegra,USA,defender,390,1,130,9,0,0.33,,,,,,
Inkoom,Ghana,defender,187,1,62,3,0,0.33,,,,,,
Marcus Tulio Tanaka,Japan,defender,390,5,129,5,0,0.33,,,,,,
Demerit,USA,defender,390,2,129,7,0,0.33,,,,,,
Gervinho,Ivory Coast,forward,182,5,60,1,0,0.33,,,,,,
Bougherra,Algeria,defender,270,1,89,11,0,0.33,,,,,,
Eto'o,Cameroon,forward,270,4,89,3,0,0.33,,,,,,
Vintra,Greece,defender,270,0,89,4,0,0.33,,,,,,
Cesar,Slovenia,defender,270,1,89,2,0,0.33,,,,,,
Echiejile,Nigeria,defender,67,0,22,1,0,0.33,,,,,,
Kolo Toure,Ivory Coast,defender,270,2,88,2,0,0.33,,,,,,
Wright-Phillips,England,midfielder,89,2,29,2,0,0.33,,,,,,
Thomas,Honduras,midfielder,114,0,37,5,0,0.32,,,,,,
Victorino,Uruguay,defender,435,0,141,7,0,0.32,,,,,,
Tamada,Japan,forward,28,0,9,0,0,0.32,,,,,,
Tosic,Serbia,midfielder,28,3,9,0,0,0.32,,,,,,
Yeom Ki-Hun,South Korea,midfielder,249,2,80,6,0,0.32,,,,,,
Villa,Spain,forward,529,22,169,2,0,0.32,,,,,,
Maxi Pereira,Uruguay,midfielder,570,5,182,15,0,0.32,,,,,,
Lazovic,Serbia,forward,44,1,14,0,0,0.32,,,,,,
Obasi,Nigeria,forward,195,6,62,8,0,0.32,,,,,,
